Label,Mode,Frequency,Isotopologue
MODE,121,703.35529,CHHHH
MODE,122,704.14466,CHHHH
MODE,123,712.36938,CHHHH
MODE,124,717.81362,CHHHH
MODE,125,721.96086,CHHHH
MODE,126,730.86796,CHHHH
MODE,127,739.92112,CHHHH
MODE,128,747.53239,CHHHH
MODE,129,750.66865,CHHHH
MODE,130,763.83459,CHHHH
MODE,131,776.10192,CHHHH
MODE,132,791.97375,CHHHH
MODE,133,792.99127,CHHHH
MODE,134,809.12623,CHHHH
MODE,135,820.82073,CHHHH
MODE,136,827.15487,CHHHH
MODE,137,830.29216,CHHHH
MODE,138,839.26565,CHHHH
MODE,139,840.86757,CHHHH
MODE,140,842.43787,CHHHH
MODE,141,857.77872,CHHHH
MODE,142,859.60448,CHHHH
MODE,143,860.48162,CHHHH
MODE,144,865.1043,CHHHH
MODE,145,877.52631,CHHHH
MODE,146,879.15874,CHHHH
MODE,147,882.63605,CHHHH
MODE,148,892.73668,CHHHH
MODE,149,902.03175,CHHHH
MODE,150,906.8238,CHHHH
MODE,151,921.15592,CHHHH
MODE,152,928.80495,CHHHH
MODE,153,934.94609,CHHHH
MODE,154,938.49764,CHHHH
MODE,155,945.01422,CHHHH
MODE,156,949.63403,CHHHH
MODE,157,952.78176,CHHHH
MODE,158,953.97531,CHHHH
MODE,159,966.23157,CHHHH
MODE,160,974.14493,CHHHH
MODE,161,977.39153,CHHHH
MODE,162,984.06391,CHHHH
MODE,163,984.66076,CHHHH
MODE,164,987.54698,CHHHH
MODE,165,989.76001,CHHHH
MODE,166,990.97666,CHHHH
MODE,167,1000.41287,CHHHH
MODE,168,1007.88677,CHHHH
MODE,169,1013.69801,CHHHH
MODE,170,1018.82478,CHHHH
MODE,171,1021.10516,CHHHH
MODE,172,1028.92286,CHHHH
MODE,173,1030.87439,CHHHH
MODE,174,1032.98641,CHHHH
MODE,175,1036.93165,CHHHH
MODE,176,1037.48212,CHHHH
MODE,177,1052.56928,CHHHH
MODE,178,1060.45154,CHHHH
MODE,179,1069.23171,CHHHH
MODE,180,1076.09711,CHHHH
MODE,181,1076.79242,CHHHH
MODE,182,1076.90241,CHHHH
MODE,183,1077.77198,CHHHH
MODE,184,1082.76334,CHHHH
MODE,185,1094.27549,CHHHH
MODE,186,1105.55955,CHHHH
MODE,187,1115.60878,CHHHH
MODE,188,1126.8779,CHHHH
MODE,189,1129.78971,CHHHH
MODE,190,1130.89516,CHHHH
MODE,191,1138.67459,CHHHH
MODE,192,1139.52719,CHHHH
MODE,193,1140.57805,CHHHH
MODE,194,1150.32198,CHHHH
MODE,195,1158.33466,CHHHH
MODE,196,1167.68071,CHHHH
MODE,197,1173.68743,CHHHH
MODE,198,1186.83233,CHHHH
MODE,199,1197.30915,CHHHH
MODE,200,1204.21535,CHHHH
MODE,201,1204.6909,CHHHH
MODE,202,1206.42364,CHHHH
MODE,203,1214.5081,CHHHH
MODE,204,1218.10585,CHHHH
MODE,205,1220.04494,CHHHH
MODE,206,1235.26199,CHHHH
MODE,207,1236.54708,CHHHH
MODE,208,1239.84385,CHHHH
MODE,209,1242.82228,CHHHH
MODE,210,1249.28983,CHHHH
MODE,211,1251.51491,CHHHH
MODE,212,1255.07849,CHHHH
MODE,213,1263.47852,CHHHH
MODE,214,1265.50281,CHHHH
MODE,215,1272.77951,CHHHH
MODE,216,1273.15135,CHHHH
MODE,217,1277.80354,CHHHH
MODE,218,1294.08877,CHHHH
MODE,219,1296.60152,CHHHH
MODE,220,1300.08399,CHHHH
MODE,221,1302.79748,CHHHH
MODE,222,1303.99704,CHHHH
MODE,223,1309.87396,CHHHH
MODE,224,1312.2561,CHHHH
MODE,225,1320.34008,CHHHH
MODE,226,1321.11635,CHHHH
MODE,227,1324.54801,CHHHH
MODE,228,1327.08603,CHHHH
MODE,229,1331.42168,CHHHH
MODE,230,1343.02343,CHHHH
MODE,231,1347.13913,CHHHH
MODE,232,1353.1767,CHHHH
MODE,233,1355.43811,CHHHH
MODE,234,1358.02311,CHHHH
MODE,235,1364.9057,CHHHH
MODE,236,1370.9937,CHHHH
MODE,237,1372.37702,CHHHH
MODE,238,1377.36518,CHHHH
MODE,239,1377.78982,CHHHH
MODE,240,1380.89108,CHHHH
MODE,241,1382.47945,CHHHH
MODE,242,1386.84779,CHHHH
MODE,243,1387.0254,CHHHH
MODE,244,1388.81516,CHHHH
MODE,245,1395.48954,CHHHH
MODE,246,1398.95408,CHHHH
MODE,247,1400.51932,CHHHH
MODE,248,1405.25634,CHHHH
MODE,249,1410.22363,CHHHH
MODE,250,1416.64464,CHHHH
MODE,251,1428.67264,CHHHH
MODE,252,1438.47751,CHHHH
MODE,253,1440.89248,CHHHH
MODE,254,1444.79427,CHHHH
MODE,255,1448.17871,CHHHH
MODE,256,1451.18883,CHHHH
MODE,257,1461.24546,CHHHH
MODE,258,1469.3465,CHHHH
MODE,259,1471.82959,CHHHH
MODE,260,1477.73884,CHHHH
MODE,261,1482.54235,CHHHH
MODE,262,1487.05738,CHHHH
MODE,263,1489.65375,CHHHH
MODE,264,1500.61175,CHHHH
MODE,265,1501.30415,CHHHH
MODE,266,1503.23433,CHHHH
MODE,267,1505.13578,CHHHH
MODE,268,1507.38701,CHHHH
MODE,269,1509.48588,CHHHH
MODE,270,1511.21543,CHHHH
MODE,271,1511.97417,CHHHH
MODE,272,1512.69785,CHHHH
MODE,273,1514.30553,CHHHH
MODE,274,1517.02118,CHHHH
MODE,275,1520.34918,CHHHH
MODE,276,1520.50179,CHHHH
MODE,277,1521.55134,CHHHH
MODE,278,1522.65045,CHHHH
MODE,279,1526.12894,CHHHH
MODE,280,1527.37215,CHHHH
MODE,281,1529.06378,CHHHH
MODE,282,1529.73151,CHHHH
MODE,283,1531.39387,CHHHH
MODE,284,1567.28512,CHHHH
MODE,285,1570.28088,CHHHH
MODE,286,1595.5282,CHHHH
MODE,287,1598.20705,CHHHH
MODE,288,1616.93628,CHHHH
MODE,289,1638.2724,CHHHH
MODE,290,1642.86111,CHHHH
MODE,291,1645.05027,CHHHH
MODE,292,1665.69446,CHHHH
MODE,293,1674.36815,CHHHH
MODE,294,1678.7341,CHHHH
MODE,295,1692.61446,CHHHH
MODE,296,1715.58916,CHHHH
MODE,297,1728.38766,CHHHH
MODE,298,1754.75123,CHHHH
MODE,299,1811.51916,CHHHH
MODE,300,2969.15663,CHHHH
MODE,301,2981.08891,CHHHH
MODE,302,3006.3631,CHHHH
MODE,303,3020.07485,CHHHH
MODE,304,3021.97305,CHHHH
MODE,305,3030.2271,CHHHH
MODE,306,3032.47879,CHHHH
MODE,307,3032.65807,CHHHH
MODE,308,3041.05188,CHHHH
MODE,309,3042.06308,CHHHH
MODE,310,3044.5453,CHHHH
MODE,311,3046.18052,CHHHH
MODE,312,3051.92088,CHHHH
MODE,313,3052.91069,CHHHH
MODE,314,3053.94284,CHHHH
MODE,315,3056.15177,CHHHH
MODE,316,3060.35707,CHHHH
MODE,317,3063.18455,CHHHH
MODE,318,3065.40288,CHHHH
MODE,319,3065.76721,CHHHH
MODE,320,3068.26055,CHHHH
MODE,321,3071.06657,CHHHH
MODE,322,3083.42549,CHHHH
MODE,323,3085.63291,CHHHH
MODE,324,3085.97324,CHHHH
MODE,325,3087.25528,CHHHH
MODE,326,3095.16632,CHHHH
MODE,327,3104.6913,CHHHH
MODE,328,3106.96186,CHHHH
MODE,329,3110.60763,CHHHH
MODE,330,3112.25919,CHHHH
MODE,331,3112.61173,CHHHH
MODE,332,3113.24223,CHHHH
MODE,333,3113.86716,CHHHH
MODE,334,3114.83507,CHHHH
MODE,335,3114.91302,CHHHH
MODE,336,3121.16942,CHHHH
MODE,337,3126.49476,CHHHH
MODE,338,3130.82788,CHHHH
MODE,339,3134.5209,CHHHH
MODE,340,3137.23705,CHHHH
MODE,341,3140.38648,CHHHH
MODE,342,3142.76571,CHHHH
MODE,343,3146.30201,CHHHH
MODE,344,3148.32147,CHHHH
MODE,345,3153.02788,CHHHH
MODE,346,3156.66587,CHHHH
MODE,347,3165.40927,CHHHH
MODE,348,3169.09217,CHHHH
MODE,349,3171.36599,CHHHH
MODE,350,3172.34599,CHHHH
MODE,351,3176.41745,CHHHH
MODE,352,3190.75085,CHHHH
MODE,353,3197.23092,CHHHH
MODE,354,3199.19631,CHHHH
MODE,355,3203.16727,CHHHH
MODE,356,3208.72521,CHHHH
MODE,357,3304.49558,CHHHH
MODE,358,3400.50762,CHHHH
MODE,359,3529.64392,CHHHH
MODE,360,3692.29806,CHHHH
12-1-1-1-2,,,
MODE,13,4.9733,CHHHD
MODE,14,8.82848,CHHHD
MODE,15,15.64158,CHHHD
MODE,16,18.77952,CHHHD
MODE,17,22.38329,CHHHD
MODE,18,24.03154,CHHHD
MODE,19,29.52384,CHHHD
MODE,20,29.78707,CHHHD
MODE,21,32.62744,CHHHD
MODE,22,35.08929,CHHHD
MODE,23,37.42653,CHHHD
MODE,24,40.80175,CHHHD
MODE,25,42.01972,CHHHD
MODE,26,43.78545,CHHHD
MODE,27,48.8478,CHHHD
MODE,28,52.89285,CHHHD
MODE,29,57.47722,CHHHD
MODE,30,60.25716,CHHHD
MODE,31,61.80389,CHHHD
MODE,32,67.18455,CHHHD
MODE,33,68.48376,CHHHD
MODE,34,71.4783,CHHHD
MODE,35,73.3428,CHHHD
MODE,36,75.48263,CHHHD
MODE,37,80.49614,CHHHD
MODE,38,83.67445,CHHHD
MODE,39,91.05463,CHHHD
MODE,40,94.98931,CHHHD
MODE,41,96.41413,CHHHD
MODE,42,107.59046,CHHHD
MODE,43,107.97306,CHHHD
MODE,44,108.03483,CHHHD
MODE,45,110.04383,CHHHD
MODE,46,112.71709,CHHHD
MODE,47,118.96642,CHHHD
MODE,48,122.00005,CHHHD
MODE,49,130.10812,CHHHD
MODE,50,134.3191,CHHHD
MODE,51,140.71133,CHHHD
MODE,52,144.33921,CHHHD
MODE,53,147.40703,CHHHD
MODE,54,152.34479,CHHHD
MODE,55,156.50942,CHHHD
MODE,56,164.80818,CHHHD
MODE,57,169.10888,CHHHD
MODE,58,184.57005,CHHHD
MODE,59,193.68571,CHHHD
MODE,60,203.42104,CHHHD
MODE,61,205.62399,CHHHD
MODE,62,218.90984,CHHHD
MODE,63,222.64764,CHHHD
MODE,64,225.7125,CHHHD
MODE,65,233.90048,CHHHD
MODE,66,247.27948,CHHHD
MODE,67,249.53908,CHHHD
MODE,68,259.52462,CHHHD
MODE,69,268.46644,CHHHD
MODE,70,272.26764,CHHHD
MODE,71,297.27405,CHHHD
MODE,72,303.94609,CHHHD
MODE,73,316.37213,CHHHD
MODE,74,322.7369,CHHHD
MODE,75,323.44683,CHHHD
MODE,76,332.53475,CHHHD
MODE,77,335.97732,CHHHD
MODE,78,338.48674,CHHHD
MODE,79,340.53737,CHHHD
MODE,80,362.36654,CHHHD
MODE,81,379.52626,CHHHD
MODE,82,382.57231,CHHHD
MODE,83,393.00415,CHHHD
MODE,84,405.10932,CHHHD
MODE,85,423.62241,CHHHD
MODE,86,425.69073,CHHHD
MODE,87,426.06702,CHHHD
MODE,88,433.96771,CHHHD
MODE,89,436.81496,CHHHD
MODE,90,445.23215,CHHHD
MODE,91,453.61854,CHHHD
MODE,92,453.89696,CHHHD
MODE,93,464.99501,CHHHD
MODE,94,467.73816,CHHHD
MODE,95,471.29036,CHHHD
MODE,96,475.73895,CHHHD
MODE,97,509.37348,CHHHD
MODE,98,509.91422,CHHHD
MODE,99,526.71336,CHHHD
MODE,100,526.94301,CHHHD
MODE,101,530.15202,CHHHD
MODE,102,553.31232,CHHHD
MODE,103,556.56808,CHHHD
MODE,104,563.73685,CHHHD
MODE,105,565.41256,CHHHD
MODE,106,567.31537,CHHHD
MODE,107,574.45115,CHHHD
MODE,108,588.94789,CHHHD
MODE,109,593.33582,CHHHD
MODE,110,606.48431,CHHHD
MODE,111,620.95963,CHHHD
MODE,112,623.94677,CHHHD
MODE,113,637.98871,CHHHD
MODE,114,651.35074,CHHHD
MODE,115,658.04768,CHHHD
MODE,116,658.259,CHHHD
MODE,117,661.14408,CHHHD
MODE,118,664.23297,CHHHD
MODE,119,688.71895,CHHHD
MODE,120,701.59454,CHHHD
MODE,121,703.35488,CHHHD
MODE,122,704.13815,CHHHD
MODE,123,712.36937,CHHHD
MODE,124,717.81022,CHHHD
MODE,125,721.96038,CHHHD
MODE,126,730.86792,CHHHD
MODE,127,739.92107,CHHHD
MODE,128,747.53224,CHHHD
MODE,129,750.66864,CHHHD
MODE,130,763.83456,CHHHD
MODE,131,776.10192,CHHHD
MODE,132,791.97373,CHHHD
MODE,133,792.99127,CHHHD
MODE,134,809.12619,CHHHD
MODE,135,820.8207,CHHHD
MODE,136,827.15482,CHHHD
MODE,137,830.29211,CHHHD
MODE,138,839.26553,CHHHD
MODE,139,840.86756,CHHHD
MODE,140,842.43723,CHHHD
MODE,141,857.77863,CHHHD
MODE,142,859.60447,CHHHD
MODE,143,860.48162,CHHHD
MODE,144,865.10428,CHHHD
MODE,145,877.52631,CHHHD
MODE,146,879.15874,CHHHD
MODE,147,882.63605,CHHHD
MODE,148,892.73668,CHHHD
MODE,149,902.03175,CHHHD
MODE,150,906.8238,CHHHD
MODE,151,921.1559,CHHHD
MODE,152,928.80495,CHHHD
MODE,153,934.94607,CHHHD
MODE,154,938.49761,CHHHD
MODE,155,945.01421,CHHHD
MODE,156,949.63141,CHHHD
MODE,157,952.78169,CHHHD
MODE,158,953.97527,CHHHD
MODE,159,966.23152,CHHHD
MODE,160,974.1449,CHHHD
MODE,161,977.39152,CHHHD
MODE,162,984.06391,CHHHD
MODE,163,984.66072,CHHHD
MODE,164,987.54695,CHHHD
MODE,165,989.76,CHHHD
MODE,166,990.97617,CHHHD
MODE,167,1000.41284,CHHHD
MODE,168,1007.88675,CHHHD
MODE,169,1013.69793,CHHHD
MODE,170,1018.82478,CHHHD
MODE,171,1021.10516,CHHHD
MODE,172,1028.92275,CHHHD
MODE,173,1030.8741,CHHHD
MODE,174,1032.98634,CHHHD
MODE,175,1036.93084,CHHHD
MODE,176,1037.48206,CHHHD
MODE,177,1052.56897,CHHHD
MODE,178,1060.4515,CHHHD
MODE,179,1069.23171,CHHHD
MODE,180,1076.09711,CHHHD
MODE,181,1076.79238,CHHHD
MODE,182,1076.90241,CHHHD
MODE,183,1077.77197,CHHHD
MODE,184,1082.76312,CHHHD
MODE,185,1094.27548,CHHHD
MODE,186,1105.55954,CHHHD
MODE,187,1115.60878,CHHHD
MODE,188,1126.87789,CHHHD
MODE,189,1129.78968,CHHHD
MODE,190,1130.89513,CHHHD
MODE,191,1138.67457,CHHHD
MODE,192,1139.52642,CHHHD
MODE,193,1140.57803,CHHHD
MODE,194,1150.32192,CHHHD
MODE,195,1158.33406,CHHHD
MODE,196,1167.64629,CHHHD
MODE,197,1173.68717,CHHHD
MODE,198,1186.83228,CHHHD
MODE,199,1197.3091,CHHHD
MODE,200,1204.20739,CHHHD
MODE,201,1204.68848,CHHHD
MODE,202,1206.42302,CHHHD
MODE,203,1211.79896,CHHHD
MODE,204,1214.49711,CHHHD
MODE,205,1217.45303,CHHHD
MODE,206,1218.10686,CHHHD
MODE,207,1220.05098,CHHHD
MODE,208,1235.26296,CHHHD
MODE,209,1236.55032,CHHHD
MODE,210,1239.8443,CHHHD
MODE,211,1242.82479,CHHHD
MODE,212,1249.29016,CHHHD
MODE,213,1251.51493,CHHHD
MODE,214,1255.07871,CHHHD
MODE,215,1263.4796,CHHHD
MODE,216,1265.52807,CHHHD
MODE,217,1272.86305,CHHHD
MODE,218,1273.17166,CHHHD
MODE,219,1277.83378,CHHHD
MODE,220,1294.08989,CHHHD
MODE,221,1296.60194,CHHHD
MODE,222,1300.084,CHHHD
MODE,223,1302.80485,CHHHD
MODE,224,1303.99793,CHHHD
MODE,225,1309.88149,CHHHD
MODE,226,1312.25677,CHHHD
MODE,227,1320.37919,CHHHD
MODE,228,1321.16131,CHHHD
MODE,229,1324.54925,CHHHD
MODE,230,1327.08612,CHHHD
MODE,231,1331.42147,CHHHD
MODE,232,1343.02475,CHHHD
MODE,233,1347.13853,CHHHD
MODE,234,1353.17635,CHHHD
MODE,235,1355.44012,CHHHD
MODE,236,1358.02367,CHHHD
MODE,237,1369.95279,CHHHD
MODE,238,1370.99467,CHHHD
MODE,239,1372.3845,CHHHD
MODE,240,1377.36614,CHHHD
MODE,241,1380.88951,CHHHD
MODE,242,1382.46468,CHHHD
MODE,243,1386.92916,CHHHD
MODE,244,1388.79921,CHHHD
MODE,245,1395.48933,CHHHD
MODE,246,1398.95405,CHHHD
MODE,247,1400.51774,CHHHD
MODE,248,1405.00871,CHHHD
MODE,249,1410.2054,CHHHD
MODE,250,1416.64408,CHHHD
MODE,251,1428.66764,CHHHD
MODE,252,1438.47729,CHHHD
MODE,253,1440.89246,CHHHD
MODE,254,1444.79389,CHHHD
MODE,255,1448.17871,CHHHD
MODE,256,1451.18613,CHHHD
MODE,257,1461.24092,CHHHD
MODE,258,1469.34649,CHHHD
MODE,259,1471.82781,CHHHD
MODE,260,1477.73878,CHHHD
MODE,261,1482.52207,CHHHD
MODE,262,1487.05685,CHHHD
MODE,263,1489.65357,CHHHD
MODE,264,1500.60082,CHHHD
MODE,265,1501.10433,CHHHD
MODE,266,1503.22595,CHHHD
MODE,267,1505.1329,CHHHD
MODE,268,1507.37138,CHHHD
MODE,269,1509.42983,CHHHD
MODE,270,1511.12275,CHHHD
MODE,271,1511.92082,CHHHD
MODE,272,1512.59977,CHHHD
MODE,273,1514.30182,CHHHD
MODE,274,1517.02116,CHHHD
MODE,275,1520.34774,CHHHD
MODE,276,1520.50078,CHHHD
MODE,277,1521.5507,CHHHD
MODE,278,1522.65033,CHHHD
MODE,279,1526.12892,CHHHD
MODE,280,1527.36739,CHHHD
MODE,281,1529.06349,CHHHD
MODE,282,1529.68413,CHHHD
MODE,283,1531.36337,CHHHD
MODE,284,1531.90199,CHHHD
MODE,285,1542.41334,CHHHD
MODE,286,1567.31046,CHHHD
MODE,287,1570.28218,CHHHD
MODE,288,1616.9276,CHHHD
MODE,289,1638.25576,CHHHD
MODE,290,1642.84089,CHHHD
MODE,291,1645.0501,CHHHD
MODE,292,1665.69442,CHHHD
MODE,293,1674.36788,CHHHD
MODE,294,1678.73409,CHHHD
MODE,295,1692.61303,CHHHD
MODE,296,1715.58914,CHHHD
MODE,297,1728.38745,CHHHD
MODE,298,1754.75086,CHHHD
MODE,299,1811.51914,CHHHD
MODE,300,2290.28423,CHHHD
MODE,301,2969.15663,CHHHD
MODE,302,2981.08891,CHHHD
MODE,303,3006.36319,CHHHD
MODE,304,3020.07485,CHHHD
MODE,305,3021.97306,CHHHD
MODE,306,3030.22723,CHHHD
MODE,307,3032.4788,CHHHD
MODE,308,3032.65807,CHHHD
MODE,309,3041.05189,CHHHD
MODE,310,3042.06307,CHHHD
MODE,311,3046.18045,CHHHD
MODE,312,3051.9152,CHHHD
MODE,313,3052.91069,CHHHD
MODE,314,3053.94282,CHHHD
MODE,315,3056.15176,CHHHD
MODE,316,3060.35138,CHHHD
MODE,317,3063.18454,CHHHD
MODE,318,3065.40288,CHHHD
MODE,319,3065.76719,CHHHD
MODE,320,3068.26054,CHHHD
MODE,321,3071.06653,CHHHD
MODE,322,3073.94341,CHHHD
MODE,323,3083.42549,CHHHD
MODE,324,3085.63364,CHHHD
MODE,325,3085.97324,CHHHD
MODE,326,3087.25529,CHHHD
MODE,327,3095.16633,CHHHD
MODE,328,3104.6913,CHHHD
MODE,329,3106.96186,CHHHD
MODE,330,3110.60764,CHHHD
MODE,331,3112.25919,CHHHD
MODE,332,3112.61174,CHHHD
MODE,333,3113.24257,CHHHD
MODE,334,3113.86716,CHHHD
MODE,335,3114.83507,CHHHD
MODE,336,3114.91303,CHHHD
MODE,337,3121.16942,CHHHD
MODE,338,3126.49483,CHHHD
MODE,339,3130.82794,CHHHD
MODE,340,3134.5209,CHHHD
MODE,341,3137.23723,CHHHD
MODE,342,3140.39924,CHHHD
MODE,343,3144.40768,CHHHD
MODE,344,3146.34976,CHHHD
MODE,345,3148.32147,CHHHD
MODE,346,3153.02799,CHHHD
MODE,347,3165.40888,CHHHD
MODE,348,3166.78176,CHHHD
MODE,349,3171.36591,CHHHD
MODE,350,3172.34598,CHHHD
MODE,351,3176.41745,CHHHD
MODE,352,3190.75085,CHHHD
MODE,353,3197.23091,CHHHD
MODE,354,3199.19627,CHHHD
MODE,355,3203.16727,CHHHD
MODE,356,3208.72515,CHHHD
MODE,357,3304.49481,CHHHD
MODE,358,3400.50759,CHHHD
MODE,359,3529.64391,CHHHD
MODE,360,3692.29806,CHHHD
12-1-1-2-1,,,
MODE,13,4.9419,CHHDH
MODE,14,8.85438,CHHDH
MODE,15,15.58666,CHHDH
MODE,16,18.79884,CHHDH
MODE,17,22.41674,CHHDH
MODE,18,23.97239,CHHDH
MODE,19,29.38798,CHHDH
MODE,20,29.77918,CHHDH
MODE,21,32.5946,CHHDH
MODE,22,35.21326,CHHDH
MODE,23,37.4939,CHHDH
MODE,24,40.78023,CHHDH
MODE,25,42.13627,CHHDH
MODE,26,43.76038,CHHDH
MODE,27,48.80026,CHHDH
MODE,28,52.76846,CHHDH
MODE,29,57.49264,CHHDH
MODE,30,60.23724,CHHDH
MODE,31,62.10263,CHHDH
MODE,32,67.15766,CHHDH
MODE,33,68.46844,CHHDH
MODE,34,71.48851,CHHDH
MODE,35,73.37076,CHHDH
MODE,36,75.59925,CHHDH
MODE,37,80.51127,CHHDH
MODE,38,83.70175,CHHDH
MODE,39,91.15609,CHHDH
MODE,40,95.12121,CHHDH
MODE,41,96.40957,CHHDH
MODE,42,107.60238,CHHDH
MODE,43,108.02137,CHHDH
MODE,44,108.111,CHHDH
MODE,45,112.70688,CHHDH
MODE,46,118.61824,CHHDH
MODE,47,121.23312,CHHDH
MODE,48,123.86874,CHHDH
MODE,49,125.97875,CHHDH
MODE,50,130.23992,CHHDH
MODE,51,134.32553,CHHDH
MODE,52,144.27818,CHHDH
MODE,53,147.39868,CHHDH
MODE,54,152.14558,CHHDH
MODE,55,155.95201,CHHDH
MODE,56,164.79387,CHHDH
MODE,57,169.10796,CHHDH
MODE,58,184.56878,CHHDH
MODE,59,193.68213,CHHDH
MODE,60,203.42073,CHHDH
MODE,61,205.62355,CHHDH
MODE,62,218.90982,CHHDH
MODE,63,222.64745,CHHDH
MODE,64,225.71252,CHHDH
MODE,65,233.90052,CHHDH
MODE,66,247.27945,CHHDH
MODE,67,249.53906,CHHDH
MODE,68,259.52509,CHHDH
MODE,69,268.46641,CHHDH
MODE,70,272.26764,CHHDH
MODE,71,297.27403,CHHDH
MODE,72,303.9461,CHHDH
MODE,73,316.35283,CHHDH
MODE,74,322.73693,CHHDH
MODE,75,323.44657,CHHDH
MODE,76,332.53496,CHHDH
MODE,77,335.97146,CHHDH
MODE,78,338.48674,CHHDH
MODE,79,340.53729,CHHDH
MODE,80,362.36653,CHHDH
MODE,81,379.52626,CHHDH
MODE,82,382.57231,CHHDH
MODE,83,393.00416,CHHDH
MODE,84,405.10933,CHHDH
MODE,85,423.62241,CHHDH
MODE,86,425.69073,CHHDH
MODE,87,426.06634,CHHDH
MODE,88,433.9677,CHHDH
MODE,89,436.81496,CHHDH
MODE,90,445.23213,CHHDH
MODE,91,453.59687,CHHDH
MODE,92,453.8969,CHHDH
MODE,93,464.99494,CHHDH
MODE,94,467.73811,CHHDH
MODE,95,471.29036,CHHDH
MODE,96,475.73894,CHHDH
MODE,97,509.37348,CHHDH
MODE,98,509.91422,CHHDH
MODE,99,526.71227,CHHDH
MODE,100,526.9429,CHHDH
MODE,101,530.15201,CHHDH
MODE,102,553.31232,CHHDH
MODE,103,556.56808,CHHDH
MODE,104,563.73684,CHHDH
MODE,105,565.41257,CHHDH
MODE,106,567.31537,CHHDH
MODE,107,574.45113,CHHDH
MODE,108,588.9456,CHHDH
MODE,109,593.33581,CHHDH
MODE,110,606.48431,CHHDH
MODE,111,620.95967,CHHDH
MODE,112,623.94677,CHHDH
MODE,113,637.9887,CHHDH
MODE,114,651.35074,CHHDH
MODE,115,658.04754,CHHDH
MODE,116,658.25877,CHHDH
MODE,117,661.14409,CHHDH
MODE,118,664.23299,CHHDH
